year,movie_name,release_date,opening_day,opening_weekend,week_1,lifetime_collection
2010,Tum Milo Toh Sahi,02 Apr 2010,0 CrN.A,0 CrN.A,0 CrN.A,3.52 Cr
2010,Sadiyaan,02 Apr 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.69 Cr
2010,The Great Indian Butterfly,02 Apr 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.04 Cr
2010,Pankh,02 Apr 2010,0 CrN.A,0.17 Cr,0.17 Cr,0.21 Cr
2010,My Friend Ganesha 3,26 Mar 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.23 Cr
2010,Well Done Abba,26 Mar 2010,0 CrN.A,0 CrN.A,0 CrN.A,3.74 Cr
2010,Muskurake Dekh Zara,26 Mar 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.30 Cr
2010,Prem Kaa Game,26 Mar 2010,N.A. Cr,N.A. Cr,N.A. Cr,N.A. Cr
2010,Hum Tum Aur Ghost,26 Mar 2010,0 CrN.A,2.50 Cr,0 CrN.A,5.09 Cr
2010,Mittal V/S Mittal,26 Mar 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.20 Cr
2010,Lahore,19 Mar 2010,0 CrN.A,0 CrN.A,0 CrN.A,1.05 Cr
2010,Idiot Box,19 Mar 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.03 Cr
2010,Shaapit,19 Mar 2010,0 CrN.A,0 CrN.A,6.05 Cr,9.48 Cr
2010,Love Sex Aur Dhokha,19 Mar 2010,0 CrN.A,4.25 Cr,6.40 Cr,9.78 Cr
2010,Na Ghar Ke Na Ghaat Ke,12 Mar 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.82 Cr
2010,Swaha,12 Mar 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2010,Right Yaaa Wrong,12 Mar 2010,N.A. Cr,1.93 Cr,3.07 Cr,4.11 Cr
2010,Hide & Seek,12 Mar 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.56 Cr
2010,Atithi Tum Kab Jaoge?,05 Mar 2010,0 CrN.A,11.86 Cr,18.93 Cr,41.12 Cr
2010,Rokkk,05 Mar 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.93 Cr
2010,Thanks Maa,05 Mar 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.11 Cr
2010,Hello Zindagi,05 Mar 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2010,Teen Patti,26 Feb 2010,0 CrN.A,3.84 Cr,6.11 Cr,6.77 Cr
2010,Karthik Calling Karthik,26 Feb 2010,0 CrN.A,8.92 Cr,14.27 Cr,26.92 Cr
2010,Toh Baat Pakki,19 Feb 2010,0 CrN.A,0 CrN.A,0 CrN.A,4.24 Cr
2010,Click,19 Feb 2010,N.A. Cr,N.A. Cr,N.A. Cr,2.46 Cr
2010,My Name Is Khan,12 Feb 2010,8.00 Cr,30.00 Cr,48.45 Cr,82.52 Cr
2010,"Road, Movie",05 Feb 2010,N.A. Cr,0.83 Cr,1.32 Cr,2.23 Cr
2010,Phaans – Ek Jasoos Ki Kahani,05 Feb 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2010,Striker,05 Feb 2010,N.A. Cr,0.80 Cr,0.00 Cr,0.84 Cr
2010,Rann,29 Jan 2010,0 CrN.A,4.73 Cr,7.55 Cr,7.85 Cr
2010,Ishqiya,29 Jan 2010,0 CrN.A,9.33 Cr,13.22 Cr,28.55 Cr
2010,Veer,22 Jan 2010,7.00 Cr,19.57 Cr,31.82 Cr,46.00 Cr
2010,Chance Pe Dance,15 Jan 2010,N.A. Cr,6.00 Cr,9.55 Cr,20.62 Cr
2010,Bhavnao Ko Samjho,15 Jan 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.02 Cr
2010,Hello Hum Lallann Bol Rahe Hain,15 Jan 2010,N.A. Cr,0.00 Cr,N.A. Cr,0.03 Cr
2010,Mission 11 Jul,15 Jan 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.02 Cr
2010,Dulha Mil Gaya,08 Jan 2010,0 CrN.A,0 CrN.A,0 CrN.A,4.15 Cr
2010,Pyaar Impossible,08 Jan 2010,0 CrN.A,2.96 Cr,4.75 Cr,6.27 Cr
2010,Ek Aadat,30 Nov 2009,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2011,Kya Yahi Sach Hai,30 Dec 2011,0 CrN.A,0 CrN.A,0.19 Cr,0.20 Cr
2011,Don Ke Baad Kaun?,23 Dec 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.06 Cr
2011,Don 2,23 Dec 2011,15.30 Cr,48.39 Cr,75.51 Cr,106.71 Cr
2011,Pappu Can’t Dance Saala,16 Dec 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.37 Cr
2011,Faraar,16 Dec 2011,N.A. Cr,N.A. Cr,N.A. Cr,N.A. Cr
2011,Jo Hum Chahein,16 Dec 2011,N.A. Cr,N.A. Cr,0.23 Cr,0.23 Cr
2011,Ye Stupid Pyar,09 Dec 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.01 Cr
2011,Lanka,09 Dec 2011,N.A. Cr,N.A. Cr,0.51 Cr,0.52 Cr
2011,Ladies VS Ricky Bahl,09 Dec 2011,4.74 Cr,16.54 Cr,24.93 Cr,32.97 Cr
2011,The Dirty Picture,02 Dec 2011,9.54 Cr,32.70 Cr,52.50 Cr,80.00 Cr
2011,I Am Singh,02 Dec 2011,N.A. Cr,N.A. Cr,0.35 Cr,0.37 Cr
2011,Ek Main Ek Tum,01 Dec 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2011,Desi Boyz,25 Nov 2011,8.00 Cr,25.50 Cr,35.27 Cr,42.40 Cr
2011,Dam 999,25 Nov 2011,N.A. Cr,N.A. Cr,0.81 Cr,1.13 Cr
2011,Shakal Pe Mat Ja,18 Nov 2011,0 CrN.A,0 CrN.A,0.35 Cr,0.39 Cr
2011,Who’s There?,18 Nov 2011,N.A. Cr,N.A. Cr,N.A. Cr,0.03 Cr
2011,Rockstar,11 Nov 2011,10.60 Cr,33.60 Cr,49.01 Cr,62.00 Cr
2011,Tension Doooor,04 Nov 2011,0 CrN.A,0 CrN.A,0.01 Cr,0.02 Cr
2011,Na Jaane Kabse..,04 Nov 2011,N.A. Cr,N.A. Cr,0.02 Cr,0.03 Cr
2011,Miley Naa Miley Hum,04 Nov 2011,N.A. Cr,0.46 Cr,0.71 Cr,0.77 Cr
2011,Loot,04 Nov 2011,0 CrN.A,0 CrN.A,3.12 Cr,3.42 Cr
2011,Tell Me O Kkhuda,27 Oct 2011,N.A. Cr,N.A. Cr,0.93 Cr,1.28 Cr
2011,Damadamm!,27 Oct 2011,N.A. Cr,N.A. Cr,0.86 Cr,1.07 Cr
2011,Ra.One,26 Oct 2011,18.50 Cr,92.00 Cr,99.00 Cr,114.29 Cr
2011,Be-Careful,21 Oct 2011,0 CrN.A,0 CrN.A,0.26 Cr,0.30 Cr
2011,Aazaan,14 Oct 2011,N.A. Cr,N.A. Cr,1.67 Cr,2.31 Cr
2011,My Friend Pinto,14 Oct 2011,0 CrN.A,0 CrN.A,1.45 Cr,1.91 Cr
2011,Jo Dooba So Paar – It’s Love in Bihar!,14 Oct 2011,0 CrN.A,0 CrN.A,0 CrN.A,0.28 Cr
2011,Mujhse Fraaandship Karoge,14 Oct 2011,0.50 Cr,2.18 Cr,3.70 Cr,5.12 Cr
2011,Mod,14 Oct 2011,N.A. Cr,N.A. Cr,0.41 Cr,0.51 Cr
2011,Love Breakups Zindagi,07 Oct 2011,N.A. Cr,N.A. Cr,1.42 Cr,1.70 Cr
2011,Soundtrack,07 Oct 2011,0 CrN.A,0 CrN.A,0.43 Cr,0.53 Cr
2011,9 Eleven,07 Oct 2011,N.A. Cr,N.A. Cr,0.02 Cr,0.03 Cr
2011,Rascals,06 Oct 2011,0 CrN.A,23.50 Cr,27.68 Cr,32.60 Cr
2011,Saheb Biwi Aur Gangster,30 Sep 2011,0 CrN.A,3.75 Cr,5.77 Cr,10.40 Cr
2011,Tere Mere Phere,30 Sep 2011,0 CrN.A,0 CrN.A,0.54 Cr,0.65 Cr
2011,Force,30 Sep 2011,5.05 Cr,16.00 Cr,24.52 Cr,27.29 Cr
2011,Chargesheet,30 Sep 2011,N.A. Cr,N.A. Cr,0.02 Cr,0.03 Cr
2011,Hum Tum Shabana,30 Sep 2011,N.A. Cr,1.20 Cr,1.90 Cr,2.34 Cr
2011,Speedy Singhs,23 Sep 2011,N.A. Cr,N.A. Cr,3.25 Cr,3.52 Cr
2011,Mausam,23 Sep 2011,0 CrN.A,20.75 Cr,28.49 Cr,29.75 Cr
2011,U R My Jaan,23 Sep 2011,0 CrN.A,0 CrN.A,0.06 Cr,0.09 Cr
2011,Rivaaz,16 Sep 2011,N.A. Cr,N.A. Cr,0.22 Cr,0.33 Cr
2011,Mere Brother Ki Dulhan,09 Sep 2011,7.40 Cr,25.90 Cr,38.99 Cr,58.70 Cr
2011,That Girl in Yellow Boots,02 Sep 2011,N.A. Cr,N.A. Cr,N.A. Cr,2.14 Cr
2011,Bol,31 Aug 2011,0 CrN.A,0 CrN.A,1.27 Cr,2.05 Cr
2011,Bodyguard,31 Aug 2011,21.60 Cr,88.75 Cr,115.00 Cr,148.86 Cr
